,Flow_99122-00355,Flow_99065-00842,Flow_99086-00484,Flow_99122-00702,Flow_99103-00900,Flow_99106-00471,Flow_99240-00456,Flow_99088-00235,Flow_99087-00206,Flow_99098-00351
64,0.0,0.0,7.56,3.78,0.0,0.0,0.0,0.0,0.0,45.36
65,0.0,0.0,0.0,26.459999999999997,0.0,0.0,0.0,30.24,0.0,0.0
66,94.5,0.0,0.0,30.24,0.0,0.0,0.0,3.78,3.78,3.78
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,3.78,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,18.9
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,11.34
70,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,7.56,15.12
71,0.0,0.0,83.16,0.0,0.0,0.0,0.0,0.0,0.0,124.74
72,0.0,0.0,34.019999999999996,0.0,0.0,0.0,0.0,0.0,11.34,11.34
73,0.0,0.0,22.68,0.0,0.0,0.0,0.0,0.0,15.12,15.12
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
75,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,30.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,49.14,0.0,0.0,0.0,0.0,0.0,0.0,15.12,0.0,0.0
79,7.56,0.0,0.0,7.56,0.0,0.0,0.0,3.78,0.0,0.0
80,7.56,0.0,0.0,15.12,0.0,0.0,0.0,3.78,0.0,0.0
81,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0
82,3.78,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0
83,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.14,0.0
84,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.38
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,3.78
89,0.0,0.0,0.0,7.56,0.0,0.0,0.0,68.03999999999999,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,15.12
91,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
92,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,3.78
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,0.0
94,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,22.68,3.78
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.919999999999995,11.34
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,113.39999999999999
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.919999999999995
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36,0.0,0.0
102,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,26.459999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,30.24,0.0,0.0,34.019999999999996,0.0,0.0,0.0,30.24,0.0,0.0
105,0.0,0.0,0.0,7.56,0.0,0.0,0.0,7.56,0.0,0.0
106,7.56,0.0,3.78,11.34,0.0,0.0,0.0,0.0,0.0,0.0
107,3.78,0.0,3.78,34.019999999999996,0.0,0.0,0.0,0.0,3.78,83.16
108,18.9,0.0,7.56,3.78,0.0,0.0,0.0,0.0,0.0,7.56
109,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,11.34,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16,0.0,0.0
114,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,90.72,0.0,0.0,0.0,0.0,0.0,0.0
116,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34
117,3.78,0.0,3.78,11.34,0.0,0.0,0.0,52.919999999999995,3.78,26.459999999999997
118,0.0,0.0,0.0,3.78,0.0,0.0,0.0,49.14,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.459999999999997,11.34,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.24
